Lfd. Nr.,Code,Researchers,Language,Date,Start,End,Check,4,7,9,13,15,19,22,24,28,30,34,37,39,43,45,49,52,54,58,60,64,67,69,73,75,79,82,84,88,90,94,97,99,103,105,109,112,114,117,119,Comments
0,152RI,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW,5,6,2,2,2,7,6,5,7,2,1,3,7,2,4,7,5,2,6,2,6,3,2,3,3,7,1,5,2,5,7,1,5,3,4,6,6,7,7,2,NA
1,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,4,2,4,3,6,7,6,2,3,7,4,4,7,1,6,7,6,4,6,3,4,6,6,4,5,7,6,5,4,6,5,5,5,3,2,6,6,5,7,6,NA
2,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,6,4,2,6,2,7,7,2,6,3,2,6,7,2,6,7,7,5,2,6,6,6,6,4,5,7,6,7,6,3,6,5,6,4,2,7,7,6,7,6,NA
3,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,7,3,4,7,7,7,7,7,7,5,5,7,7,5,7,6,7,5,7,7,7,7,7,4,5,7,4,7,7,7,7,7,7,1,3,7,7,7,7,6,Me parece muy interesante este tipo de esudios.
4,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,7,5,6,6,4,6,7,4,7,5,3,6,7,5,7,7,7,3,7,4,7,5,6,7,6,6,7,7,7,7,6,7,7,5,5,6,7,7,7,6,NA
5,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,7,6,3,4,6,7,7,3,5,2,6,2,6,6,7,7,2,2,5,3,6,1,3,2,6,6,4,7,6,6,7,2,6,2,3,2,6,7,7,6,Demasiadas preguntas. Pero el cuestionario es muy interesante. ¡Gracias! 
6,012OO,ABR/JS/AS/SG,S,15.05.2023,16:16:00,16:33:00,ABR,7,2,7,7,3,7,7,5,4,7,7,4,7,4,2,7,7,4,2,1,4,5,7,4,3,7,7,7,7,4,7,7,7,2,1,7,7,4,7,3,NA
7,145MV,ABR/JS/AS,S,16.05.2023,16:03:00,16:14:00,AS,7,7,1,3,6,7,7,2,7,3,2,6,7,6,5,7,7,7,7,5,6,6,7,7,7,7,7,7,7,7,7,7,7,1,3,7,7,7,7,7,NA
8,365OE,ABR/JS/AS,S,16.05.2023,17:01:00,17:11:00,AS,7,7,5,7,6,7,7,3,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,7,7,7,7,7,6,"M'agradaria aclarir que he contestat tenint en compte el valor de veritat de les oracions. Amb això, vull dir que hi ha oracions sintàcticament correctes i semànticament possibles (però sense valor de veritat). És a dir, hi ha algunes frases que només a través de la imaginació, en sentit figurat o fent assimilacions inverosímils tendríen sentit per a mi. En tot cas, he contestat tenint en compte el valor de veritat només. El comentari que us faig és amb la intenció de proposar-vos un enunciat que contempli tots els escenaris possibles (si és que ho voleu així). Sort i ventura! =)"
9,412MN,ABR/JS/AS,S,16.05.2023,17:01:00,17:09:00,AS,7,6,7,7,4,7,7,3,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,1,6,7,7,7,7,7,"1. He elegit les respostes sense pensar en el contingut semàtic de les oracions. Tan sols m'he basat en el contingut sintàctic i gramatical. 2. Malgrat que la majoria d'oracions serien més fàcilment dites per un prelat del dialecte central i no del dialecte mallorquí (el meu) he contestat com si em semblassin igual de natural, per li meva parla concreta. Gràcies i bona feina!"
10,123AO,SG/ASS/JS/ABR,E,18.05.2023,10:50:00,11:01:00,ABR,7,7,3,7,6,7,7,2,7,5,6,5,7,7,6,6,6,7,6,5,7,7,7,7,7,7,7,6,7,7,6,7,7,5,7,7,7,7,7,7,"He contestat en funció de si les oracions eren correctes o no sintàcticament, però moltes eren estranyes com una serp cosint, però sintàcticament és correcte. Hi havia errades ortogràfiques que, majoritàriament, he ignorat."
11,251UA,SG/ASS/AS/DS,E,18.05.2023,12:32:00,12:45:00,ABR/JS,7,3,1,5,1,7,7,2,2,1,3,5,7,4,5,7,4,3,7,2,2,7,7,7,2,7,7,7,7,7,7,7,4,1,1,5,5,2,7,2,"Moltes de les paraules no sóu utilizades a mallorca; oncle; gat, ampella, barret ... al igual que els articles el -> al. Ademés d'espresióus com s'encanten. Aquestes frases no representen la llengua en ús a Mallorca."
